,progrnumber,stoppointid,lineid,routeid
8603,11,4422,185,185_59
8604,12,7369,185,185_59
8605,13,7295,185,185_59
8606,14,4199,185,185_59
8607,15,4416,185,185_59
8608,16,4417,185,185_59
8609,17,4419,185,185_59
8610,18,4420,185,185_59
8611,19,4421,185,185_59
8612,20,2113,185,185_59
8613,21,4131,185,185_59
8614,22,7294,185,185_59
8615,23,4156,185,185_59
8616,24,4167,185,185_59
11377,1,4686,220,220_14
11378,2,4687,220,220_14
11379,3,102,220,220_14
11380,4,6239,220,220_14
11381,5,104,220,220_14
11382,6,6241,220,220_14
11383,7,105,220,220_14
11384,8,4365,220,220_14
11385,9,4367,220,220_14
11386,10,4788,220,220_14
11387,11,6273,220,220_14
11388,12,136,220,220_14
11389,13,137,220,220_14
11390,14,193,220,220_14
11391,15,979,220,220_14
11392,16,1529,220,220_14
11393,17,1530,220,220_14
11394,18,1531,220,220_14
11395,19,1532,220,220_14
11396,20,1592,220,220_14
11397,21,1593,220,220_14
11398,22,1594,220,220_14
11399,23,1596,220,220_14
11400,24,4363,220,220_14
11401,25,1598,220,220_14
11402,26,1597,220,220_14
11403,27,1599,220,220_14
11404,28,1600,220,220_14
11405,29,1601,220,220_14
11406,30,1602,220,220_14
11407,31,1603,220,220_14
11408,32,1604,220,220_14
11409,33,1573,220,220_14
11410,34,1574,220,220_14
11411,35,1575,220,220_14
11412,36,4583,220,220_14
11413,37,1576,220,220_14
11414,38,1577,220,220_14
11415,39,1578,220,220_14
11416,40,4364,220,220_14
11417,41,1580,220,220_14
11418,42,7237,220,220_14
11419,43,7241,220,220_14
11420,44,7247,220,220_14
11421,45,7243,220,220_14
11422,46,7126,220,220_14
11423,47,7124,220,220_14
11424,48,7343,220,220_14
11425,49,7318,220,220_14
11426,50,4980,220,220_14
11427,51,2289,220,220_14
11428,52,1835,220,220_14
11429,53,1836,220,220_14
11430,54,1837,220,220_14
11431,55,2338,220,220_14
11432,56,2290,220,220_14
11433,57,6179,220,220_14
11434,59,7297,220,220_14
11435,60,1813,220,220_14
11461,61,1814,220,220_14
11436,62,1852,220,220_14
11437,63,1853,220,220_14
11438,64,1854,220,220_14
11439,65,1844,220,220_14
11440,66,6172,220,220_14
11441,67,1856,220,220_14
11442,68,1857,220,220_14
11443,69,1858,220,220_14
11444,70,1859,220,220_14
11445,71,1860,220,220_14
11446,72,4492,220,220_14
11447,73,1861,220,220_14
11448,74,1862,220,220_14
11449,75,1863,220,220_14
11450,76,1864,220,220_14
11451,77,1865,220,220_14
11452,78,1866,220,220_14
11453,79,1850,220,220_14
11454,80,1867,220,220_14
11455,81,4489,220,220_14
11456,82,4323,220,220_14
11457,83,1824,220,220_14
11458,84,1825,220,220_14
11459,85,1826,220,220_14
11460,86,1827,220,220_14
11139,1,1828,220,220_15
11140,2,1829,220,220_15
11141,3,1830,220,220_15
11142,4,1831,220,220_15
11143,5,4464,220,220_15
11144,6,1869,220,220_15
11145,7,1870,220,220_15
11146,8,1871,220,220_15
11147,9,1872,220,220_15
11148,10,1873,220,220_15
11149,11,1874,220,220_15
11150,12,1875,220,220_15
11151,13,1876,220,220_15
11152,14,1877,220,220_15
11153,15,1878,220,220_15
11154,16,1879,220,220_15
11155,17,1880,220,220_15
11156,18,1881,220,220_15
11157,19,7379,220,220_15
11158,20,4903,220,220_15
11159,21,1883,220,220_15
11160,22,1884,220,220_15
11161,23,1902,220,220_15
11162,24,1903,220,220_15
11163,25,1904,220,220_15
11164,26,1840,220,220_15
11165,27,1841,220,220_15
11166,28,1842,220,220_15
11167,29,7298,220,220_15
11168,30,2294,220,220_15
11169,31,6039,220,220_15
11217,32,1816,220,220_15
11218,33,1817,220,220_15
11219,34,1818,220,220_15
11170,35,1819,220,220_15
11171,36,2468,220,220_15
11172,37,7319,220,220_15
11173,38,7342,220,220_15
11174,39,7125,220,220_15
11175,40,7344,220,220_15
11176,41,2510,220,220_15
11177,42,7242,220,220_15
11178,43,7238,220,220_15
11179,44,7224,220,220_15
11180,45,1581,220,220_15
11181,46,4793,220,220_15
11182,47,6068,220,220_15
11183,48,1584,220,220_15
11184,49,1585,220,220_15
11185,50,1586,220,220_15
11186,51,1600,220,220_15
11187,52,1601,220,220_15
11188,53,1602,220,220_15
11189,54,1603,220,220_15
11190,55,1604,220,220_15
11191,56,1587,220,220_15
11192,57,4539,220,220_15
11193,58,1606,220,220_15
11194,59,1607,220,220_15
11195,60,1608,220,220_15
11196,61,1609,220,220_15
11197,62,1610,220,220_15
11198,63,7471,220,220_15
11199,64,1512,220,220_15
11200,65,1538,220,220_15
11201,66,1513,220,220_15
11202,67,4592,220,220_15
11203,68,4375,220,220_15
11204,69,4366,220,220_15
11205,70,4479,220,220_15
11206,71,4376,220,220_15
11207,72,4377,220,220_15
11208,73,4890,220,220_15
11209,74,4369,220,220_15
11210,75,4368,220,220_15
11211,76,4781,220,220_15
11212,77,107,220,220_15
11213,78,7092,220,220_15
11214,79,110,220,220_15
11215,80,124,220,220_15
11216,81,4686,220,220_15
11017,1,4745,236,236_10
11018,2,4989,236,236_10
11019,3,4990,236,236_10
11020,4,4991,236,236_10
11021,5,4992,236,236_10
11041,6,4986,236,236_10
11022,7,7107,236,236_10
11023,8,7102,236,236_10
11024,9,7103,236,236_10
11025,10,7104,236,236_10
11026,11,7105,236,236_10
11027,12,7106,236,236_10
11028,13,5071,236,236_10
11029,14,5072,236,236_10
11030,15,4321,236,236_10
11031,16,7570,236,236_10
11032,17,7342,236,236_10
11033,18,7125,236,236_10
11034,19,7344,236,236_10
11035,20,7334,236,236_10
11036,21,6274,236,236_10
11037,22,1838,236,236_10
11038,23,2338,236,236_10
11039,24,661,236,236_10
11040,25,7026,236,236_10
10992,1,4747,236,236_9
10993,2,2960,236,236_9
10994,3,1545,236,236_9
10995,4,1816,236,236_9
10996,5,6171,236,236_9
10997,6,4974,236,236_9
10998,7,4976,236,236_9
10999,8,7126,236,236_9
11000,9,7124,236,236_9
11001,10,7343,236,236_9
11002,11,7575,236,236_9
11003,12,4978,236,236_9
11004,13,4979,236,236_9
11005,14,4986,236,236_9
11006,15,7107,236,236_9
11007,16,7102,236,236_9
11008,17,7103,236,236_9
11009,18,7104,236,236_9
11010,19,7105,236,236_9
11011,20,7106,236,236_9
11012,21,7381,236,236_9
11013,22,4742,236,236_9
11014,23,4743,236,236_9
11015,24,4744,236,236_9
11016,25,4745,236,236_9
9097,1,7073,238,238_11
9098,2,7097,238,238_11
9099,3,7098,238,238_11
9100,4,7099,238,238_11
9101,5,7100,238,238_11
9102,6,7101,238,238_11
9103,7,7505,238,238_11
9104,8,5071,238,238_11
9105,9,5072,238,238_11
9106,10,4980,238,238_11
9107,11,2289,238,238_11
9108,12,1835,238,238_11
9109,13,1836,238,238_11
9110,14,1837,238,238_11
9111,15,2338,238,238_11
9112,16,661,238,238_11
9113,17,7026,238,238_11
9114,18,4323,238,238_11
9115,19,1824,238,238_11
9116,20,1825,238,238_11
9117,21,1826,238,238_11
9118,22,1827,238,238_11
3481,1,1828,238,238_15
3482,2,1829,238,238_15
3483,3,1830,238,238_15
3484,4,1831,238,238_15
3485,5,4747,238,238_15
3486,6,2960,238,238_15
3487,7,1545,238,238_15
3488,8,1816,238,238_15
3489,9,1817,238,238_15
3490,10,1818,238,238_15
3491,11,1819,238,238_15
3492,12,1820,238,238_15
3493,13,2468,238,238_15
3494,14,4978,238,238_15
3495,15,4979,238,238_15
3496,16,4986,238,238_15
3497,17,7107,238,238_15
3498,18,7102,238,238_15
3499,19,7103,238,238_15
3500,20,7104,238,238_15
3501,21,7105,238,238_15
3502,22,7106,238,238_15
3503,23,6005,238,238_15
3504,24,1546,238,238_15
3505,25,7072,238,238_15
9509,1,7026,239,239_26
9510,2,1882,239,239_26
9511,3,7379,239,239_26
9512,4,4903,239,239_26
9513,5,1883,239,239_26
9514,6,1884,239,239_26
9515,7,7155,239,239_26
9516,8,1887,239,239_26
9517,9,1888,239,239_26
9518,10,1889,239,239_26
9519,11,1890,239,239_26
9520,12,4820,239,239_26
9521,13,6126,239,239_26
9522,14,2226,239,239_26
9523,15,6134,239,239_26
9524,16,2223,239,239_26
9525,17,2224,239,239_26
9526,18,2225,239,239_26
9527,19,4620,239,239_26
9528,20,7563,239,239_26
9529,21,3368,239,239_26
9530,22,4626,239,239_26
9531,23,4627,239,239_26
9532,24,4327,239,239_26
9533,25,4603,239,239_26
9534,26,4604,239,239_26
9535,27,2681,239,239_26
9536,28,4691,239,239_26
9537,29,2682,239,239_26
9538,30,4690,239,239_26
9539,31,4411,239,239_26
9540,32,4715,239,239_26
9541,33,4795,239,239_26
9542,1,4795,239,239_28
9543,2,4715,239,239_28
9544,3,4688,239,239_28
9545,4,4689,239,239_28
9546,5,4410,239,239_28
9547,6,2678,239,239_28
9548,7,4630,239,239_28
9549,8,4631,239,239_28
9550,9,5138,239,239_28
9551,10,4611,239,239_28
9552,11,4612,239,239_28
9553,12,4613,239,239_28
9554,13,3370,239,239_28
9555,14,7168,239,239_28
9556,15,4616,239,239_28
9557,16,2227,239,239_28
9558,17,2229,239,239_28
9559,18,6133,239,239_28
9560,19,2228,239,239_28
9561,20,6127,239,239_28
9562,21,4826,239,239_28
9563,22,1912,239,239_28
9564,23,1895,239,239_28
9565,24,1896,239,239_28
9566,25,1897,239,239_28
9567,26,1844,239,239_28
9568,27,6073,239,239_28
9569,28,4493,239,239_28
9570,29,4362,239,239_28
9571,30,7026,239,239_28
334,1,3890,25,25_269
335,2,3891,25,25_269
336,3,3949,25,25_269
337,4,3950,25,25_269
338,5,2229,25,25_269
339,6,2230,25,25_269
340,7,2231,25,25_269
341,8,2233,25,25_269
342,9,2232,25,25_269
343,10,2234,25,25_269
344,11,2235,25,25_269
345,12,2236,25,25_269
346,13,2237,25,25_269
347,14,2238,25,25_269
348,15,5056,25,25_269
349,16,2239,25,25_269
350,17,2241,25,25_269
351,18,2242,25,25_269
352,19,2243,25,25_269
353,20,2244,25,25_269
354,21,2245,25,25_269
355,22,2246,25,25_269
356,23,2247,25,25_269
357,24,2248,25,25_269
358,25,2249,25,25_269
359,26,2250,25,25_269
360,27,2251,25,25_269
361,28,1472,25,25_269
362,29,4408,25,25_269
363,30,1473,25,25_269
364,31,1474,25,25_269
365,32,1476,25,25_269
366,33,7453,25,25_269
367,34,1478,25,25_269
368,35,1479,25,25_269
369,36,315,25,25_269
12161,37,347,25,25_269
370,38,406,25,25_269
371,39,4530,25,25_269
372,40,748,25,25_269
373,41,7390,25,25_269
292,1,7391,25,25_272
293,2,493,25,25_272
294,3,494,25,25_272
295,4,495,25,25_272
296,5,400,25,25_272
297,6,7588,25,25_272
298,7,7392,25,25_272
299,8,312,25,25_272
300,9,1444,25,25_272
301,10,1445,25,25_272
302,11,7078,25,25_272
303,12,1449,25,25_272
304,13,1450,25,25_272
305,14,1451,25,25_272
306,15,2191,25,25_272
307,16,2192,25,25_272
308,17,2193,25,25_272
309,18,2194,25,25_272
310,19,2195,25,25_272
311,20,2196,25,25_272
312,21,2197,25,25_272
313,22,2198,25,25_272
314,23,2200,25,25_272
315,24,2201,25,25_272
316,25,7239,25,25_272
317,26,4401,25,25_272
318,27,2213,25,25_272
319,28,2214,25,25_272
320,29,2215,25,25_272
321,30,2216,25,25_272
322,31,4599,25,25_272
323,32,2217,25,25_272
324,33,2218,25,25_272
325,34,2219,25,25_272
326,35,2220,25,25_272
327,36,2221,25,25_272
328,37,2223,25,25_272
329,38,2224,25,25_272
330,39,3886,25,25_272
331,40,3887,25,25_272
332,41,3888,25,25_272
333,42,3890,25,25_272
1519,1,4620,25A,25A_270
1520,2,7563,25A,25A_270
1521,3,3368,25A,25A_270
1522,4,4626,25A,25A_270
1523,5,4627,25A,25A_270
1524,6,4624,25A,25A_270
1525,7,4625,25A,25A_270
1526,8,4628,25A,25A_270
1527,9,4623,25A,25A_270
1528,10,4619,25A,25A_270
1529,11,4561,25A,25A_270
1530,12,4629,25A,25A_270
1531,13,4630,25A,25A_270
1532,14,4631,25A,25A_270
1533,15,4632,25A,25A_270
1534,16,5164,25A,25A_270
1535,17,4633,25A,25A_270
1536,18,2234,25A,25A_270
1537,19,2235,25A,25A_270
1538,20,2236,25A,25A_270
1539,21,2237,25A,25A_270
1540,22,2238,25A,25A_270
1541,23,5056,25A,25A_270
1542,24,2239,25A,25A_270
1543,25,2241,25A,25A_270
1544,26,2242,25A,25A_270
13002,27,7626,25A,25A_270
1545,28,7435,25A,25A_270
1546,29,2722,25A,25A_270
1547,30,4413,25A,25A_270
1548,31,1476,25A,25A_270
1549,32,7453,25A,25A_270
1550,33,1478,25A,25A_270
1551,34,1479,25A,25A_270
1552,35,315,25A,25A_270
11328,36,347,25A,25A_270
1553,37,406,25A,25A_270
1554,38,4530,25A,25A_270
1555,39,748,25A,25A_270
1556,40,7390,25A,25A_270
1479,1,7391,25A,25A_273
1480,2,493,25A,25A_273
1481,3,494,25A,25A_273
1482,4,495,25A,25A_273
1483,5,400,25A,25A_273
1484,6,7588,25A,25A_273
1485,7,7392,25A,25A_273
1486,8,312,25A,25A_273
1487,9,1444,25A,25A_273
1488,10,1445,25A,25A_273
1489,11,4407,25A,25A_273
1490,12,2637,25A,25A_273
1491,13,2721,25A,25A_273
1492,14,7012,25A,25A_273
1493,16,2201,25A,25A_273
1494,17,7239,25A,25A_273
1495,18,4401,25A,25A_273
1496,19,2213,25A,25A_273
1497,20,2214,25A,25A_273
1498,21,2215,25A,25A_273
1499,22,2216,25A,25A_273
1500,23,4599,25A,25A_273
1501,24,4601,25A,25A_273
1502,25,5058,25A,25A_273
1503,26,4602,25A,25A_273
1504,27,4603,25A,25A_273
1505,28,4604,25A,25A_273
1506,29,4605,25A,25A_273
1507,30,4562,25A,25A_273
1508,31,7386,25A,25A_273
1509,32,4607,25A,25A_273
1510,33,4608,25A,25A_273
1511,34,4609,25A,25A_273
1512,35,4610,25A,25A_273
1513,36,4611,25A,25A_273
1514,37,4612,25A,25A_273
1515,38,4613,25A,25A_273
1516,39,3370,25A,25A_273
1517,40,7168,25A,25A_273
1518,41,4616,25A,25A_273
1401,1,6290,25B,25B_271
1402,2,7120,25B,25B_271
1403,3,7119,25B,25B_271
1404,4,7127,25B,25B_271
1405,5,7143,25B,25B_271
1406,6,3368,25B,25B_271
1407,7,7137,25B,25B_271
1408,8,7139,25B,25B_271
1409,9,4623,25B,25B_271
1410,10,4619,25B,25B_271
1411,11,4561,25B,25B_271
1412,12,4629,25B,25B_271
1413,13,4630,25B,25B_271
1414,14,4631,25B,25B_271
1415,15,4632,25B,25B_271
1416,16,5164,25B,25B_271
1417,17,4633,25B,25B_271
1418,18,2234,25B,25B_271
1419,19,2235,25B,25B_271
1420,20,2236,25B,25B_271
1421,21,2237,25B,25B_271
1422,22,2238,25B,25B_271
1423,23,5056,25B,25B_271
1424,24,2239,25B,25B_271
1425,25,2241,25B,25B_271
1426,26,2242,25B,25B_271
1427,28,7435,25B,25B_271
1428,29,2722,25B,25B_271
1429,30,4413,25B,25B_271
1430,31,1476,25B,25B_271
1431,32,7453,25B,25B_271
1432,33,1478,25B,25B_271
1433,34,1479,25B,25B_271
1434,35,315,25B,25B_271
11857,36,347,25B,25B_271
1435,37,406,25B,25B_271
1436,38,4530,25B,25B_271
1437,39,748,25B,25B_271
1438,40,7390,25B,25B_271
1439,1,7391,25B,25B_274
1440,2,493,25B,25B_274
1441,3,494,25B,25B_274
1442,4,495,25B,25B_274
1443,5,400,25B,25B_274
1444,6,7588,25B,25B_274
1445,7,7392,25B,25B_274
1446,8,312,25B,25B_274
1447,9,1444,25B,25B_274
1448,10,1445,25B,25B_274
1449,11,4407,25B,25B_274
1450,12,2637,25B,25B_274
1451,13,2721,25B,25B_274
1452,14,7012,25B,25B_274
1453,15,2201,25B,25B_274
1454,16,7239,25B,25B_274
1455,17,4401,25B,25B_274
1456,18,2213,25B,25B_274
1457,19,2214,25B,25B_274
1458,20,2215,25B,25B_274
1459,21,2216,25B,25B_274
1460,22,4599,25B,25B_274
1461,23,4601,25B,25B_274
1462,24,5058,25B,25B_274
1463,25,4602,25B,25B_274
1464,26,4603,25B,25B_274
1465,27,4604,25B,25B_274
1466,28,4605,25B,25B_274
1467,29,4562,25B,25B_274
1468,30,7386,25B,25B_274
1469,31,4607,25B,25B_274
1470,32,7140,25B,25B_274
1471,33,7141,25B,25B_274
1472,34,7138,25B,25B_274
1473,35,3370,25B,25B_274
1474,36,7231,25B,25B_274
1475,37,7128,25B,25B_274
1476,38,7117,25B,25B_274
1477,39,7118,25B,25B_274
1478,40,6289,25B,25B_274
7107,1,6290,25D,25D_275
7108,2,7120,25D,25D_275
7109,3,7119,25D,25D_275
7110,4,7127,25D,25D_275
7111,5,7143,25D,25D_275
7112,6,7168,25D,25D_275
7113,7,4616,25D,25D_275
7114,8,2227,25D,25D_275
7115,9,7049,25D,25D_275
7116,11,2236,25D,25D_275
7117,12,2237,25D,25D_275
7118,13,2238,25D,25D_275
7119,14,5056,25D,25D_275
7120,15,2239,25D,25D_275
7121,16,2241,25D,25D_275
7122,17,2242,25D,25D_275
7123,19,7435,25D,25D_275
7124,20,2722,25D,25D_275
7125,21,4413,25D,25D_275
7126,22,1476,25D,25D_275
7127,23,7453,25D,25D_275
7128,24,1478,25D,25D_275
7129,25,1479,25D,25D_275
7130,26,315,25D,25D_275
7131,27,347,25D,25D_275
7132,28,406,25D,25D_275
7133,29,4530,25D,25D_275
7134,30,748,25D,25D_275
7135,31,7390,25D,25D_275
8391,1,7391,25D,25D_277
8392,2,493,25D,25D_277
8393,3,494,25D,25D_277
8394,4,495,25D,25D_277
8395,5,400,25D,25D_277
8396,6,7588,25D,25D_277
8397,7,7392,25D,25D_277
8398,8,312,25D,25D_277
8399,9,1444,25D,25D_277
8400,10,1445,25D,25D_277
8401,11,4407,25D,25D_277
8402,12,2637,25D,25D_277
8403,13,2721,25D,25D_277
8404,14,7012,25D,25D_277
8405,16,2201,25D,25D_277
8406,17,7239,25D,25D_277
8407,18,4401,25D,25D_277
8408,19,2213,25D,25D_277
8409,20,2214,25D,25D_277
8410,21,2215,25D,25D_277
8411,22,2216,25D,25D_277
8412,23,4599,25D,25D_277
8413,24,7184,25D,25D_277
8414,25,2225,25D,25D_277
8415,26,4620,25D,25D_277
8416,27,7563,25D,25D_277
8417,28,7231,25D,25D_277
8418,29,7128,25D,25D_277
8419,30,7117,25D,25D_277
8420,31,7118,25D,25D_277
8421,32,6289,25D,25D_277
12061,1,4953,25X,25X_10
12062,2,768,25X,25X_10
12063,3,769,25X,25X_10
12064,4,770,25X,25X_10
12065,5,771,25X,25X_10
12066,6,772,25X,25X_10
12067,7,773,25X,25X_10
12068,8,774,25X,25X_10
12069,9,775,25X,25X_10
12070,10,776,25X,25X_10
12071,11,777,25X,25X_10
12072,12,779,25X,25X_10
12073,13,780,25X,25X_10
12074,14,781,25X,25X_10
12075,15,782,25X,25X_10
12076,16,783,25X,25X_10
12077,17,784,25X,25X_10
12078,18,785,25X,25X_10
12079,19,786,25X,25X_10
12363,20,6058,25X,25X_10
12080,21,791,25X,25X_10
12081,22,7576,25X,25X_10
12082,24,7585,25X,25X_10
12083,25,7587,25X,25X_10
12084,26,345,25X,25X_10
12085,27,318,25X,25X_10
12086,28,312,25X,25X_10
12087,29,1444,25X,25X_10
12088,30,1445,25X,25X_10
12089,31,4407,25X,25X_10
12090,32,2637,25X,25X_10
12091,33,2721,25X,25X_10
12092,34,7012,25X,25X_10
12093,35,2201,25X,25X_10
12094,36,4401,25X,25X_10
12095,37,2213,25X,25X_10
12096,38,2214,25X,25X_10
12097,39,2215,25X,25X_10
12098,40,2216,25X,25X_10
12099,41,4599,25X,25X_10
12100,42,2217,25X,25X_10
12101,43,2218,25X,25X_10
12102,44,2219,25X,25X_10
12103,45,3365,25X,25X_10
12104,46,3366,25X,25X_10
12105,47,3367,25X,25X_10
12106,48,3886,25X,25X_10
12107,49,3888,25X,25X_10
12108,50,3890,25X,25X_10
11813,1,3890,25X,25X_9
11814,2,3891,25X,25X_9
11815,3,7187,25X,25X_9
11816,4,4001,25X,25X_9
11817,5,3949,25X,25X_9
11818,6,3950,25X,25X_9
11819,7,3372,25X,25X_9
11820,8,3373,25X,25X_9
11821,9,3374,25X,25X_9
11822,10,2233,25X,25X_9
11823,11,2232,25X,25X_9
11824,12,2234,25X,25X_9
11825,13,2235,25X,25X_9
11826,14,2239,25X,25X_9
11827,15,2241,25X,25X_9
11828,16,2242,25X,25X_9
11829,17,7435,25X,25X_9
11830,18,2722,25X,25X_9
11831,19,4413,25X,25X_9
11832,20,1476,25X,25X_9
11833,21,7453,25X,25X_9
11834,22,1478,25X,25X_9
11835,23,1479,25X,25X_9
11836,24,315,25X,25X_9
11837,25,336,25X,25X_9
11838,26,406,25X,25X_9
11839,27,747,25X,25X_9
11840,28,748,25X,25X_9
11841,29,749,25X,25X_9
11842,30,750,25X,25X_9
11843,31,751,25X,25X_9
11844,32,752,25X,25X_9
11845,33,753,25X,25X_9
11846,34,754,25X,25X_9
11847,35,755,25X,25X_9
11848,36,756,25X,25X_9
11849,37,757,25X,25X_9
11850,38,758,25X,25X_9
11851,39,759,25X,25X_9
11852,40,760,25X,25X_9
11853,41,761,25X,25X_9
11854,42,762,25X,25X_9
11855,43,763,25X,25X_9
11856,44,4953,25X,25X_9
2539,1,7391,26,26_24
2540,2,493,26,26_24
2541,3,494,26,26_24
2542,4,495,26,26_24
2543,5,400,26,26_24
2544,6,346,26,26_24
2545,7,317,26,26_24
2546,8,312,26,26_24
2547,9,1444,26,26_24
2548,10,1445,26,26_24
2549,11,7078,26,26_24
2550,12,1449,26,26_24
2551,13,1450,26,26_24
2552,14,1451,26,26_24
2553,15,2191,26,26_24
2554,16,2192,26,26_24
2555,17,2193,26,26_24
2556,18,2194,26,26_24
2557,19,2195,26,26_24
2558,20,2196,26,26_24
2559,21,2197,26,26_24
2560,22,2198,26,26_24
2561,23,2200,26,26_24
2562,24,2201,26,26_24
2563,25,7239,26,26_24
2564,26,4401,26,26_24
2565,27,2202,26,26_24
2566,28,2203,26,26_24
2567,29,2210,26,26_24
2568,1,2210,26,26_26
2569,2,2211,26,26_26
2570,3,2241,26,26_26
2571,4,2242,26,26_26
2572,5,2243,26,26_26
2573,6,2244,26,26_26
2574,7,2245,26,26_26
2575,8,2246,26,26_26
2576,9,2247,26,26_26
2577,10,2248,26,26_26
2578,11,2249,26,26_26
2579,12,2250,26,26_26
2580,13,2251,26,26_26
2581,14,1472,26,26_26
2582,15,4408,26,26_26
2583,16,1473,26,26_26
2584,17,1474,26,26_26
2585,18,1476,26,26_26
2586,19,7453,26,26_26
2587,20,1478,26,26_26
2588,21,1479,26,26_26
2589,22,315,26,26_26
11859,23,347,26,26_26
2590,24,406,26,26_26
2591,25,2810,26,26_26
2592,26,7387,26,26_26
3066,1,2353,27,27_17
3067,2,4643,27,27_17
3068,3,4644,27,27_17
3069,4,4645,27,27_17
3070,5,4440,27,27_17
3071,6,2628,27,27_17
3072,7,2629,27,27_17
3073,8,6095,27,27_17
3074,9,7062,27,27_17
3075,10,6075,27,27_17
3076,11,2631,27,27_17
3077,12,2359,27,27_17
3078,13,2360,27,27_17
3079,14,4348,27,27_17
3080,15,4646,27,27_17
3081,16,4647,27,27_17
3082,17,2346,27,27_17
3083,18,4435,27,27_17
3084,19,2632,27,27_17
3085,20,2633,27,27_17
3086,21,2369,27,27_17
3087,22,2370,27,27_17
3088,23,2371,27,27_17
3089,24,2372,27,27_17
3090,25,2373,27,27_17
3091,26,2377,27,27_17
3092,27,2378,27,27_17
3093,28,2183,27,27_17
3094,29,2184,27,27_17
3095,30,2185,27,27_17
3096,31,7043,27,27_17
3097,32,1424,27,27_17
3098,33,2186,27,27_17
3099,34,2187,27,27_17
3100,35,2188,27,27_17
3101,36,2189,27,27_17
3102,37,1436,27,27_17
3103,38,3952,27,27_17
3104,39,2190,27,27_17
3105,40,4434,27,27_17
3106,41,2379,27,27_17
3107,42,2380,27,27_17
3108,43,2382,27,27_17
3109,44,5099,27,27_17
3110,45,2383,27,27_17
3111,46,2002,27,27_17
3112,47,1358,27,27_17
3113,48,298,27,27_17
3114,49,496,27,27_17
3115,50,7490,27,27_17
3116,51,497,27,27_17
3117,52,515,27,27_17
3118,53,516,27,27_17
3119,54,4384,27,27_17
3120,55,519,27,27_17
3121,56,521,27,27_17
3122,57,522,27,27_17
3123,58,7659,27,27_17
3124,59,523,27,27_17
3125,60,669,27,27_17
3126,61,670,27,27_17
3127,62,671,27,27_17
3128,63,672,27,27_17
3129,64,4382,27,27_17
3130,65,1196,27,27_17
3131,66,1197,27,27_17
3132,67,1198,27,27_17
3133,68,1199,27,27_17
3134,69,1200,27,27_17
3135,70,4385,27,27_17
3136,71,1201,27,27_17
3137,72,4695,27,27_17
3138,73,1243,27,27_17
3139,74,4696,27,27_17
3140,75,4697,27,27_17
3141,76,1250,27,27_17
3142,77,4698,27,27_17
3143,78,4383,27,27_17
3144,79,4699,27,27_17
3145,80,4388,27,27_17
3146,81,4700,27,27_17
3147,82,1266,27,27_17
3148,83,1267,27,27_17
3149,84,1268,27,27_17
3150,85,1269,27,27_17
3151,86,1265,27,27_17
3152,87,6115,27,27_17
3153,88,4849,27,27_17
3154,89,4593,27,27_17
3155,90,4595,27,27_17
2976,1,4595,27,27_19
2977,2,4596,27,27_19
2978,3,4563,27,27_19
2979,4,1218,27,27_19
2980,5,1258,27,27_19
2981,6,1259,27,27_19
2982,7,1260,27,27_19
2983,8,6130,27,27_19
2984,9,1262,27,27_19
2985,10,4692,27,27_19
2986,11,1245,27,27_19
2987,12,4693,27,27_19
2988,13,1254,27,27_19
2989,14,1255,27,27_19
2990,15,1256,27,27_19
2991,16,4694,27,27_19
2992,17,1249,27,27_19
2993,18,1247,27,27_19
2994,19,1248,27,27_19
2995,20,1273,27,27_19
2996,21,1274,27,27_19
2997,22,1275,27,27_19
2998,23,1276,27,27_19
2999,24,1277,27,27_19
3000,25,1219,27,27_19
3001,26,1220,27,27_19
3002,27,1221,27,27_19
3003,28,664,27,27_19
3004,29,665,27,27_19
3005,30,666,27,27_19
3006,31,667,27,27_19
3007,32,668,27,27_19
3008,33,614,27,27_19
3009,34,615,27,27_19
3010,35,616,27,27_19
3011,36,617,27,27_19
3012,37,618,27,27_19
3013,38,619,27,27_19
3014,39,675,27,27_19
3015,40,1500,27,27_19
3016,41,302,27,27_19
3017,42,4495,27,27_19
3018,43,4522,27,27_19
3019,44,1934,27,27_19
3020,45,2310,27,27_19
3021,46,2311,27,27_19
3022,47,2312,27,27_19
3023,48,2313,27,27_19
3024,49,2314,27,27_19
3025,50,2315,27,27_19
3026,51,2094,27,27_19
3027,52,1406,27,27_19
3028,53,1407,27,27_19
3029,54,1409,27,27_19
3030,55,2095,27,27_19
3031,56,2096,27,27_19
3032,57,2097,27,27_19
3033,58,2099,27,27_19
3034,59,2101,27,27_19
3035,60,2102,27,27_19
3036,61,2103,27,27_19
3037,62,2332,27,27_19
3038,63,2333,27,27_19
3039,64,2334,27,27_19
3040,65,4662,27,27_19
3041,66,2335,27,27_19
3042,67,2336,27,27_19
3043,68,2337,27,27_19
3044,69,2339,27,27_19
3045,70,2340,27,27_19
3046,71,2601,27,27_19
3047,72,4446,27,27_19
3048,73,2603,27,27_19
3049,74,2557,27,27_19
3050,75,4436,27,27_19
3051,76,5008,27,27_19
3052,77,4640,27,27_19
3053,78,4347,27,27_19
3054,79,2349,27,27_19
3055,80,2351,27,27_19
3056,81,2621,27,27_19
3057,82,2622,27,27_19
3058,83,2623,27,27_19
3059,84,2624,27,27_19
3060,85,4441,27,27_19
3061,86,2626,27,27_19
3062,87,2669,27,27_19
3063,88,4641,27,27_19
